,Tokenized_Text,Tweets_Clean,Tweet_Lemmatized
10,"['they', 'lure…', '.biden', 'started', 'inflation', 'rising', 'by', 'ending', 'our', 'energy', 'independence', '.']","['lure…', '.biden', 'started', 'inflation', 'rising', 'ending', 'energy', 'independence', '.']","['lure…', '.biden', 'started', 'inflation', 'rising', 'ending', 'energy', 'independence', '.']"
11,"['then', 'his', 'fed', 'started', 'raising', 'interest', 'rates', '.']","['fed', 'started', 'raising', 'interest', 'rates', '.']","['fed', 'started', 'raising', 'interest', 'rate', '.']"
12,"['no…', '.rt', 'the', 'crime', 'crisis', 'is', 'hurting', 'our', 'mom', '&', 'amp', ';', 'pop', 'shops', '.']","['no…', 'crime', 'crisis', 'hurting', 'mom', '&', 'amp', ';', 'pop', 'shops', '.']","['no…', 'crime', 'crisis', 'hurting', 'mom', '&', 'amp', ';', 'pop', 'shop', '.']"
13,"['paul', 'li', ',', 'president', 'of', 'the', 'bay', 'parkway', 'business', 'association', ',', '&', 'amp', ';', 'brookl….the', 'penalty', 'is', 'part', 'of', 'an', 'expanding', 'effort', 'by', 'the', 'treasury', 'department', 'and', 'other', 'agencies', 'to', 'crack', 'down', 'on', 'crypto', 'cr…', '.rt', 'bulgaria', 'government', 'is', 'the', 'second', 'largest', 'bitcoin', 'holder', 'in', 'the', 'world', '(', '~200', '000', 'btc', ')', ':', '.rt', 'crypto', 'has', ':', '-caused', 'an', 'epic', 'crypto-crime-wave', 'of', 'ransomware/drug', 'dealing/sex', 'trafficking/money', 'laundering/terrorism/sa….', '#', 'cybersecurity', 'and', '#', 'privacy', 'atty', 'shardul', 'desai', 'will', 'discuss', '#', 'crypto-related', 'crime', ',', '#', 'regulation', 'and', 'enforcement', 'at', 'a…', '.']","['paul', 'li', ',', 'president', 'bay', 'parkway', 'business', 'association', ',', '&', 'amp', ';', 'brookl….the', 'penalty', 'part', 'expanding', 'effort', 'treasury', 'department', 'agencies', 'crack', 'crypto', 'cr…', 'bulgaria', 'government', 'second', 'largest', 'bitcoin', 'holder', 'world', '(', '~200', '000', 'btc', ')', ':', 'crypto', ':', '-caused', 'epic', 'crypto-crime-wave', 'ransomware/drug', 'dealing/sex', 'trafficking/money', 'laundering/terrorism/sa….', 'cybersecurity', 'privacy', 'atty', 'shardul', 'desai', 'discuss', 'crypto-related', 'crime', ',', 'regulation', 'enforcement', 'a…', '.']","['paul', 'li', ',', 'president', 'bay', 'parkway', 'business', 'association', ',', '&', 'amp', ';', 'brookl….the', 'penalty', 'part', 'expanding', 'effort', 'treasury', 'department', 'agency', 'crack', 'crypto', 'cr…', 'bulgaria', 'government', 'second', 'largest', 'bitcoin', 'holder', 'world', '(', '~200', '000', 'btc', ')', ':', 'crypto', ':', '-caused', 'epic', 'crypto-crime-wave', 'ransomware/drug', 'dealing/sex', 'trafficking/money', 'laundering/terrorism/sa….', 'cybersecurity', 'privacy', 'atty', 'shardul', 'desai', 'discus', 'crypto-related', 'crime', ',', 'regulation', 'enforcement', 'a…', '.']"
14,"['there', 'is', 'no', 'war', ';', 'it', 'is', 'a', 'crime', 'against', 'humanity', '..', 'rt', 'please', 'join', 'us', 'for', 'an', 'eye-opening', 'discussion', 'tuesday', ',', 'oct.18', ',', 'at', '4pm', 'about', 'how', 'crypto', 'assets', 'are', 'used', 'for', 'crime', ',', 'detect…', '.']","['war', ';', 'crime', 'humanity', '..', 'please', 'join', 'us', 'eye-opening', 'discussion', 'tuesday', ',', 'oct.18', ',', '4pm', 'crypto', 'assets', 'used', 'crime', ',', 'detect…', '.']","['war', ';', 'crime', 'humanity', '..', 'please', 'join', 'u', 'eye-opening', 'discussion', 'tuesday', ',', 'oct.18', ',', '4pm', 'crypto', 'asset', 'used', 'crime', ',', 'detect…', '.']"
15,"['stop', 'loss', 'hunting', 'from', 'their', 'insider', 'trading', 'desk', '.']","['stop', 'loss', 'hunting', 'insider', 'trading', 'desk', '.']","['stop', 'loss', 'hunting', 'insider', 'trading', 'desk', '.']"
16,"['that', 'wick', 'was', 'a', 'whale', 'harpoon', '...', '.rt', 'crypto', 'has', ':', '-caused', 'an', 'epic', 'crypto-crime-wave', 'of', 'ransomware/drug', 'dealing/sex', 'trafficking/money', 'laundering/terrorism/sa….is', 'it', 'time', 'to', 'review', 'your', 'endpoint', 'protection', '#', 'endpointsecurity', '#', 'nfts', '#', 'bitcoin', '#', 'crypto', '#', 'btc', '#', 'bsc', '#', 'dev', '#', 'video', '#', 'music…', '.rt', 'crypto', 'has', ':', '-caused', 'an', 'epic', 'crypto-crime-wave', 'of', 'ransomware/drug', 'dealing/sex', 'trafficking/money', 'laundering/terrorism/sa….', '#', 'coinbase', 'and', '#', 'binance', 'should', 'not', 'list', '#', 'lunc', '.']","['wick', 'whale', 'harpoon', '...', 'crypto', ':', '-caused', 'epic', 'crypto-crime-wave', 'ransomware/drug', 'dealing/sex', 'trafficking/money', 'laundering/terrorism/sa….is', 'time', 'review', 'endpoint', 'protection', 'endpointsecurity', 'nfts', 'bitcoin', 'crypto', 'btc', 'bsc', 'dev', 'video', 'music…', 'crypto', ':', '-caused', 'epic', 'crypto-crime-wave', 'ransomware/drug', 'dealing/sex', 'trafficking/money', 'laundering/terrorism/sa….', 'coinbase', 'binance', 'list', 'lunc', '.']","['wick', 'whale', 'harpoon', '...', 'crypto', ':', '-caused', 'epic', 'crypto-crime-wave', 'ransomware/drug', 'dealing/sex', 'trafficking/money', 'laundering/terrorism/sa….is', 'time', 'review', 'endpoint', 'protection', 'endpointsecurity', 'nfts', 'bitcoin', 'crypto', 'btc', 'bsc', 'dev', 'video', 'music…', 'crypto', ':', '-caused', 'epic', 'crypto-crime-wave', 'ransomware/drug', 'dealing/sex', 'trafficking/money', 'laundering/terrorism/sa….', 'coinbase', 'binance', 'list', 'lunc', '.']"
17,"['literally', 'funding', 'a', 'scam', 'artist', 'like', 'just', 'for', 'your', 'pocket…', '.a', 'super', '#', 'crypto', '#', 'webinar', 'and', '#', 'london', 'in-person', 'event', 'coming', 'up', 'on', '19', 'october', 'from', 'centre', 'for', 'financial', 'crime', 'and', 'se…', '.27', 'year', 'old', 'californian', 'indicted', 'in', 'crypto', 'money', 'laundering', 'conspiracy', '-', '#', 'cryptonews…', '.rt', 'crypto', 'has', ':', '-caused', 'an', 'epic', 'crypto-crime-wave', 'of', 'ransomware/drug', 'dealing/sex', 'trafficking/money', 'laundering/terrorism/sa….north', 'korea', 'leads', 'crypto', 'crime', 'scene', 'with', '$', '1.59', 'billion', 'in', 'stolen', 'funds', '#', 'btc', '#', 'ripplenews', '#', 'secretcontracts', '#', 'enigma…', '.rt', 'great', 'first', 'day', 'at', 'acams', 'las', 'vegas', 'with', 'a', '3hr', 'workshop', 'on', 'how', 'to', 'mitigate', 'financial', 'crime', 'risk', 'in', 'crypto', '.']","['literally', 'funding', 'scam', 'artist', 'like', 'pocket…', '.a', 'super', 'crypto', 'webinar', 'london', 'in-person', 'event', 'coming', '19', 'october', 'centre', 'financial', 'crime', 'se…', '.27', 'year', 'old', 'californian', 'indicted', 'crypto', 'money', 'laundering', 'conspiracy', '-', 'cryptonews…', 'crypto', ':', '-caused', 'epic', 'crypto-crime-wave', 'ransomware/drug', 'dealing/sex', 'trafficking/money', 'laundering/terrorism/sa….north', 'korea', 'leads', 'crypto', 'crime', 'scene', '$', '1.59', 'billion', 'stolen', 'funds', 'btc', 'ripplenews', 'secretcontracts', 'enigma…', 'great', 'first', 'day', 'acams', 'las', 'vegas', '3hr', 'workshop', 'mitigate', 'financial', 'crime', 'risk', 'crypto', '.']","['literally', 'funding', 'scam', 'artist', 'like', 'pocket…', '.a', 'super', 'crypto', 'webinar', 'london', 'in-person', 'event', 'coming', '19', 'october', 'centre', 'financial', 'crime', 'se…', '.27', 'year', 'old', 'californian', 'indicted', 'crypto', 'money', 'laundering', 'conspiracy', '-', 'cryptonews…', 'crypto', ':', '-caused', 'epic', 'crypto-crime-wave', 'ransomware/drug', 'dealing/sex', 'trafficking/money', 'laundering/terrorism/sa….north', 'korea', 'lead', 'crypto', 'crime', 'scene', '$', '1.59', 'billion', 'stolen', 'fund', 'btc', 'ripplenews', 'secretcontracts', 'enigma…', 'great', 'first', 'day', 'acams', 'la', 'vega', '3hr', 'workshop', 'mitigate', 'financial', 'crime', 'risk', 'crypto', '.']"
18,"['more', 'good', 'stuff', 'o….rt', 'i', 'was', 'never', 'against', 'the', 'vaccine', '.']","['good', 'stuff', 'o….rt', 'never', 'vaccine', '.']","['good', 'stuff', 'o….rt', 'never', 'vaccine', '.']"
19,"['i', 'had', 'it', '.']",['.'],['.']
