"","log_funds_lost","log_funds_returned","scamNetworks","month_of_attack","day_of_week_of_attack","day_of_year_of_attack","scam_type_grouped"
"248",12.4520729789873,0,"Binance","9","3",258,"Exploit"
"249",12.1007121298723,0,"Binance","5","2",145,"Exit Scam"
"250",12.854902145439,0,"Binance","9","0",269,"Exit Scam"
"251",14.5086577385242,0,"Cronos","5","2",124,"Exploit"
"252",8.7937637591133,0,"Ethereum","11","5",333,"Exit Scam"
"253",14.3461388090264,0,"Fantom","8","1",214,"Exploit"
"254",13.1223633774043,0,"Ethereum","8","0",233,"Exploit"
"255",14.2264937467563,0,"Fantom","3","0",80,"Exploit"
"256",8.98969370086056,0,"CEX","10","4",301,"Exploit"
"257",15.8949520996441,0,"Ethereum","7","0",192,"Exploit"
"258",13.0916711530826,0,"Ethereum","3","1",67,"Exit Scam"
"259",14.1156151504146,0,"Binance","5","4",133,"Exploit"
"260",12.0303611937758,0,"Binance","11","2",316,"Exit Scam"
"261",14.1519827945855,0,"Ethereum","4","5",109,"Exploit"
"262",12.5801777969582,0,"Binance","8","5",226,"Exploit"
"263",11.5657171362303,0,"Binance","3","0",66,"Exit Scam"
"264",12.9239124386805,0,"Binance","8","1",228,"Exit Scam"
"265",14.0954706424617,0,"Binance","11","4",323,"Exit Scam"
"266",10.2035921449865,0,"CEX","1","5",26,"Exploit"
"267",10.6240553286721,0,"Binance","10","0",276,"Exit Scam"
"268",10.3089526606443,0,"Solana","1","3",6,"Exit Scam"
"269",17.89304800187,0,"CEX","9","4",257,"Exploit"
"270",13.9195389867883,0,"Avax","11","5",317,"Exploit"
"271",13.4883944162671,0,"CEX","2","2",49,"Exploit"
"272",8.93616664954919,0,"Binance","7","2",187,"Exit Scam"
"273",10.4288371903182,0,"Binance","1","5",9,"Exit Scam"
"274",10.7202231073407,0,"Binance","9","3",251,"Exploit"
"275",12.1180662281975,0,"Binance","6","5",162,"Exit Scam"
"276",10.0660739797559,0,"Ethereum","1","4",1,"Exit Scam"
"277",11.4334492634684,0,"Ethereum","11","1",329,"Exit Scam"
"278",17.3990294964204,0,"CEX","2","1",39,"Exploit"
"279",14.0389516650044,0,"Binance","9","3",251,"Exploit"
"280",9.73843600690713,0,"Ethereum","1","5",9,"Exit Scam"
"281",14.5574479026937,0,"Binance","6","2",159,"Exploit"
"282",9.36056908522287,0,"Ethereum","1","2",6,"Exit Scam"
"283",18.8906843731981,0,"Ethereum","9","1",263,"Exploit"
"284",16.8932548910525,0,"CEX","8","6",241,"Exploit"
"285",11.9809584036803,0,"Binance","5","4",147,"Exit Scam"
"286",15.6560601913618,0,"Ethereum","6","3",153,"Exit Scam"
"287",17.1333263306874,16.9708074438153,"Other","6","3",160,"Exploit"
"288",14.5086577385242,0,"Terra Classic","5","1",151,"Exploit"
"289",13.8155105579643,0,"CEX","7","3",185,"Exit Scam"
"290",10.7324541312386,0,"Ethereum","7","3",202,"Exploit"
"291",17.86206445635,0,"Binance","4","2",118,"Exploit"
"292",14.5171480932396,0,"Polygon","9","4",253,"Exit Scam"
"293",14.5902377255166,0,"CEX","5","3",122,"Exploit"
"294",11.4839805742464,0,"Ethereum","1","4",29,"Exit Scam"
"295",12.2783933071098,0,"Binance","8","5",225,"Exit Scam"
"296",15.3195879547405,15.2505953213488,"Binance","6","1",173,"Exploit"
"297",13.7877446275671,0,"Ethereum","11","4",330,"Exploit"
"298",20.0959063969245,20.0959063987971,"CEX","1","4",26,"Exploit"
"299",14.2729354050031,0,"CEX","5","0",141,"Exploit"
"300",12.2848191288524,0,"Ethereum","3","0",73,"Exit Scam"
"301",11.404749879608,0,"Binance","7","2",187,"Exit Scam"
"302",10.9880685277913,0,"Ethereum","3","3",70,"Exit Scam"
"303",16.700311270811,0,"Fantom","4","3",118,"Exploit"
"304",12.2252770547139,0,"Ethereum","10","0",300,"Exit Scam"
"305",8.88183630500415,0,"Polygon","7","5",197,"Exploit"
"306",17.2167079396264,0,"CEX","6","1",170,"Exploit"
"307",8.27486682068525,0,"Ethereum","1","4",29,"Exit Scam"
