"","source","title","description","publishedAt","content"
"1"," Wired","This Cold-Storage Crypto Wallet Is a Smart Investment","If you don't use a safe, offline storage device, you don't really own your cryptocurrency. The Ledger Nano X keeps it secure from prying eyes.",2022-08-29 12:00:00,"If youre serious about owning digital currencies, you need a hardware wallet. Just as the wallet in your pocket stores physical currency, a crypto wallet stores your digital currency. It keeps it saf… [+3718 chars]"
"2"," The Verge","Congress presses big crypto exchanges for details on how they’re fighting scams","Congress wrote letters to Coinbase, Binance, FTX, and others to ask how they’re protecting consumers against crypto-related scams.",2022-08-31 16:20:59,"Pointed questions for Coinbase, Binance.US, FTX, Kraken, and KuCoin
Illustration by Alex Castro / The Verge
Congress wants to know what Coinbase, Binance.US, FTX, Kraken, and KuCoin are doing to ad… [+2640 chars]"
"3"," Reuters","Fugitive Turkish crypto fraud suspect arrested in Albania resort - Reuters","Albanian police on Tuesday arrested the fugitive Turkish founder of crypto-exchange Thodex, wanted by Interpol for suspected crypto fraud and at large for a year, police and media said.",2022-08-30 13:06:00,"By Reuters Staff
TIRANA (Reuters) - Albanian police on Tuesday arrested the fugitive Turkish founder of crypto-exchange Thodex, wanted by Interpol for suspected crypto fraud and at large for a year,… [+1638 chars]"
"4"," Reuters","Fugitive Turkish crypto fraud suspect arrested in Albania resort - Reuters","Albanian police on Tuesday arrested the fugitive Turkish founder of crypto-exchange Thodex, wanted by Interpol for suspected crypto fraud and at large for a year, police and media said.",2022-08-30 13:05:00,"TIRANA, Aug 30 (Reuters) - Albanian police on Tuesday arrested the fugitive Turkish founder of crypto-exchange Thodex, wanted by Interpol for suspected crypto fraud and at large for a year, police an… [+1919 chars]"
"5"," Reuters","Crypto Weekly: something in the Ether - Reuters","From why ether is gaining ground on bitcoin, to an unhappy crypto anniversary in El Salvador, we round up the week's big stories in the world of alternative currencies. Olivia Zollino reports.",2022-09-13 17:25:35,"Posted 
From why ether is gaining ground on bitcoin, to an unhappy crypto anniversary in El Salvador, we round up the week's big stories in the world of alternative currencies. Olivia Zollino report… [+1 chars]"
"6"," Reuters","Ethereum 'Merge' slashes crypto energy use - Reuters","The Ethereum blockchain has undergone a major software upgrade, drastically reducing its energy usage, its inventor and co-founder tweeted on Thursday. Julian Satterthwaite reports.",2022-09-15 14:14:07,"Posted 
The Ethereum blockchain has undergone a major software upgrade, drastically reducing its energy usage, its inventor and co-founder tweeted on Thursday. Julian Satterthwaite reports."
"7"," Reuters","Crypto Weekly: the urge to merge - Reuters","From the long-awaited 'Merge' taking place for ether, to a new problem for crypto tycoon Sam Bankman-Fried, this is your weekly roundup of the big stories in alternative currencies. Trevor Koroll reports.",2022-09-20 22:06:30,"Posted 
From the long-awaited 'Merge' taking place for ether, to a new problem for crypto tycoon Sam Bankman-Fried, this is your weekly roundup of the big stories in alternative currencies. Trevor K… [+13 chars]"
"8"," Reuters","Crypto bankruptcies: Whose Money Is It? - Reuters","Reuters asked legal experts what significant rulings could come from the recent bankruptcies of crypto lenders Celsius and Voyager.",2022-08-25 22:42:11,"Posted 
Reuters asked legal experts what significant rulings could come from the recent bankruptcies of crypto lenders Celsius and Voyager."
"9"," Reuters","Thailand tightens rules on crypto advertising - Reuters.com","Thailand's Securities and Exchange Commission (SEC) has rolled out new rules on advertising for cryptocurrency companies after the industry has come under greater scrutiny from authorities.",2022-09-01 12:02:00,"BANGKOK, Sept 1 (Reuters) - Thailand's Securities and Exchange Commission (SEC) has rolled out new rules on advertising for cryptocurrency companies after the industry has come under greater scrutiny… [+1659 chars]"
"10"," Wired","The Best Time to Upgrade Your Graphics Card Is Right Now","In a huge change from the past two years, prices are low and high-end PC graphics boards are readily available.",2022-08-27 12:00:00,"Gamers and other users of high-end PC graphics cards (crypto miners, video editors) are experiencing an unusual kind of sticker shock lately: Prices on the hardware have dropped so low, so quickly, t… [+3640 chars]"
"11"," Reuters","Dubai grants provisional approval to crypto firm Blockchain.com - Reuters","London-based crypto firm Blockchain.com said it had won a provisional approval to operate in Dubai, becoming the latest in a series of digital asset companies expanding in the Gulf as the region looks to become a hub for blockchain technology.",2022-09-09 17:15:00,"Sept 9 (Reuters) - London-based crypto firm Blockchain.com said it had won a provisional approval to operate in Dubai, becoming the latest in a series of digital asset companies expanding in the Gulf… [+952 chars]"
"12"," Reuters","Breakingviews - Crypto fans still live in a supervised world - Reuters","Since the dawn of history, the person with the bigger stick could easily take the person with the smaller stick’s money. That, at least, is one of many philosophies espoused by MicroStrategy <a href=""https://www.reuters.com/companies/MSTR.O"" target=""_blank"">(…",2022-09-01 15:13:00,"NEW YORK, Sept 1 (Reuters Breakingviews) - Since the dawn of history, the person with the bigger stick could easily take the person with the smaller sticks money. That, at least, is one of many philo… [+1810 chars]"
"13"," Reuters","Crypto Weekly: Bitcoin slides back to $20,000 - Reuters","From bitcoin’s big slide back towards $20,000 to what a court says you can’t buy with Central African Republic’s new coin, we round up the week's big stories in the world of virtual money. Trevor Koroll reports.",2022-08-30 21:11:50,"Posted 
From bitcoins big slide back towards $20,000 to what a court says you cant buy with Central African Republics new coin, we round up the week's big stories in the world of virtual money. Trev… [+17 chars]"
"14"," Reuters","Asset managers to offer fund tokens despite crypto turmoil - Reuters","Investors in crypto have endured wild moves in recent months, but this has not fazed asset managers who are preparing to use the blockchain technology behind cryptocurrencies to break funds into bite-sized units, or tokens, to sell to small savers.",2022-08-26 12:11:00,"LONDON, Aug 26 (Reuters) - Investors in crypto have endured wild moves in recent months, but this has not fazed asset managers who are preparing to use the blockchain technology behind cryptocurrenci… [+4041 chars]"
"15"," Reuters","Nasdaq bets big on digital assets despite crypto turmoil - Reuters","Nasdaq Inc <a href=""https://www.reuters.com/companies/NDAQ.O"" target=""_blank"">(NDAQ.O)</a> is placing a big bet on the cryptocurrency market, with the launch of a digital assets business that is aimed at tapping institutional investors.",2022-09-20 15:50:00,"Sept 20 (Reuters) - Nasdaq Inc (NDAQ.O) is placing a big bet on the cryptocurrency market, with the launch of a digital assets business that is aimed at tapping institutional investors.
The new unit… [+1018 chars]"
"16"," Reuters","Crypto lender Hodlnaut granted creditor protection by Singapore Court - Reuters","Hodlnaut said on Tuesday it has been placed under interim judicial management by the Singapore High Court, after the troubled cryptocurrency lender suspended withdrawals earlier this month.",2022-08-30 08:07:00,"Aug 30 (Reuters) - Hodlnaut said on Tuesday it has been placed under interim judicial management by the Singapore High Court, after the troubled cryptocurrency lender suspended withdrawals earlier th… [+1234 chars]"
"17"," Reuters","Biden administration wants more crypto enforcement, digital asset rules - Reuters","U.S. government agencies must double down on digital asset sector enforcement and identify gaps in cryptocurrency regulation, the Biden administration said in reports published on Friday.",2022-09-16 10:54:00,"Sept 16 (Reuters) - U.S. government agencies must double down on digital asset sector enforcement and identify gaps in cryptocurrency regulation, the Biden administration said in reports published on… [+2187 chars]"
"18"," Reuters","What crisis? High-stakes crypto lending looks here to stay - Reuters","On May 11, Scott Odell, an analyst at British crypto lender Blockchain.com, instant messaged Edward Zhao of Three Arrows Capital asking that the Singapore hedge fund repay at least part of a $270 million loan.",2022-09-21 05:13:00,"LONDON/WASHINGTON, Sept 21 (Reuters) - On May 11, Scott Odell, an analyst at British crypto lender Blockchain.com, instant messaged Edward Zhao of Three Arrows Capital asking that the Singapore hedge… [+7813 chars]"
"19"," Business Insider","Web3 founders and top VCs break down how blockchain gaming can take crypto mainstream – and explain potential hurdles for widespread adoption","Industry veterans share what you should know about how blockchain gaming will take crypto to the mainstream.",2022-09-14 16:57:21,"Blockchain gaming raked in $2.5 billion in funding during Q2, 2022, according to a DappRadar report. The burgeoning space has attracted some of the biggest names in Silicon Valley, with Andreessen Ho… [+6238 chars]"
"20"," Reuters","Celsius files for permission to sell its stablecoin holdings - Reuters","Bankrupt crypto lender Celsius Network on Thursday filed a request for the sale of its stablecoin holdings, in a bid to raise fund for its operations.",2022-09-16 06:42:00,"Sept 16 (Reuters) - Bankrupt crypto lender Celsius Network on Thursday filed a request for the sale of its stablecoin holdings, in a bid to raise fund for its operations.
The request was filed with … [+462 chars]"
"21"," Reuters","U.S. SEC to set up new office for crypto filings - Reuters","The U.S. securities regulator will set up two new offices to deal with filings related to crypto assets and the life sciences sector, the agency said on Friday.",2022-09-09 21:22:00,"Sept 9 (Reuters) - The U.S. securities regulator will set up two new offices to deal with filings related to crypto assets and the life sciences sector, the agency said on Friday.
The ""Office of Cry… [+1305 chars]"
"22"," Reuters","Crypto intermediaries should register with U.S. SEC, agency chair says - Reuters","Companies that help facilitate transactions in the cryptocurrency market should register with the U.S. Securities and Exchange Commission (SEC) just like other market intermediaries, the agency's chair said on Thursday.",2022-09-08 12:53:00,"WASHINGTON, Sept 8 (Reuters) - Companies that help facilitate transactions in the cryptocurrency market should register with the U.S. Securities and Exchange Commission (SEC) just like other market i… [+1836 chars]"
"23"," Reuters","Cryptoverse: Ether snaps at bitcoin's heels in race for crypto crown - Reuters.com","For years, ether could barely dream of challenging its big brother bitcoin. Now, its ambitions may be becoming more realistic.",2022-09-13 05:12:00,"Sept 13 (Reuters) - For years, ether could barely dream of challenging its big brother bitcoin. Now, its ambitions may be becoming more realistic.
The second-biggest cryptocurrency is taking market … [+3625 chars]"
"24"," Business Insider","5 crypto scams to know before you start trading coins","Scammers use various techniques to rob crypto investors. Here are five scams to know and how to avoid them.",2022-09-16 21:42:21,"Insider's experts choose the best products and services to help make smart decisions with your money (heres how). In some cases, we receive a commission from our our partners, however, our opinions a… [+9504 chars]"
"25"," Reuters","U.S. SEC's crypto guidelines push up costs for lenders, disrupting projects - Reuters","Banks' cryptocurrency projects have been upended by U.S. Securities and Exchange Commission (SEC) accounting guidance that would make it too capital-intensive for lenders to hold crypto tokens on behalf of clients, according to more than half a dozen people w…",2022-09-16 04:07:00,"WASHINGTON, Sept 16 (Reuters) - Banks' cryptocurrency projects have been upended by U.S. Securities and Exchange Commission (SEC) accounting guidance that would make it too capital-intensive for lend… [+6142 chars]"
"26"," Business Insider","Vitalik Buterin says Ethereum's merge slashes global energy consumption by 0.2%, making it one of the biggest decarbonization events ever","A report from the Crypto Carbon Ratings Institute found that the merge dramatically reduced Ethereum's carbon footprint.",2022-09-16 13:48:18,"The Ethereum merge this week slashed global energy consumption by 0.2%, Vitalik Buterin wrote in a tweet Thursday, citing a crypto researcher. 
The long-awaited event successfully transformed the bl… [+1970 chars]"
"27"," Business Insider","Shorting cryptocurrency is a high-risk, advanced investing strategy. Here's how it works","Investors can short cryptocurrencies like Bitcoin, but high volatility and lack of crypto regulation make it particularly risky.",2022-08-30 16:35:43,"When you think about investing, the idea is usually that you profit when the price of an asset increases, and lose money when it falls.
Another, more-advanced approach is short-selling, or shorting.… [+8172 chars]"
