"","source","title","description","publishedAt","content"
"28"," Business Insider","Ethereum Merge Explained: Experts break down the risks of the long-awaited crypto update","Blockchain experts call Ethereum's merge the most important event in crypto history, after the creation of ether and bitcoin.",2022-09-12 15:18:09,"The long-awaited Ethereum merge event is set to happen around Thursday, according to the Ethereum Foundation, and experts say it will reduce the blockchain's energy consumption by 99%. 
The update, … [+4117 chars]"
"29"," Reuters","Bankrupt crypto lender Voyager's CFO to exit months after appointment - Reuters","Voyager Digital Ltd Chief Financial Officer Ashwin Prithipaul is preparing to step down from his role within months of his appointment at the crypto lender that filed for bankruptcy in July.",2022-09-23 21:58:00,"Sept 23 (Reuters) - Voyager Digital Ltd Chief Financial Officer Ashwin Prithipaul is preparing to step down from his role within months of his appointment at the crypto lender that filed for bankrupt… [+954 chars]"
"30"," Reuters","Major crypto trader Wintermute hit by $160 million hack, CEO says - Reuters","Hackers have stolen digital assets worth around $160 million from crypto trading firm Wintermute, its CEO tweeted on Tuesday, the latest heist to hit a sector long plagued by cybercrime.",2022-09-20 09:37:00,"LONDON, Sept 20 (Reuters) - Hackers have stolen digital assets worth around $160 million from crypto trading firm Wintermute, its CEO tweeted on Tuesday, the latest heist to hit a sector long plagued… [+1344 chars]"
"31"," Reuters","Crypto firm 21.co raises $25 million to value it at $2 billion - Reuters","Crypto investment product firm 21.co, parent of 21Shares, said on Tuesday it had raised $25 million in a funding round led by Marshall Wallace that valued the company at $2 billion.",2022-09-06 07:10:00,"Sept 6 (Reuters) - Crypto investment product firm 21.co, parent of 21Shares, said on Tuesday it had raised $25 million in a funding round led by Marshall Wallace that valued the company at $2 billion… [+481 chars]"
"32"," Reuters","Kraken taps insider Ripley to replace CEO Powell - Reuters","Crypto exchange Kraken said on Wednesday Chief Operating Officer Dave Ripley would replace top boss Jesse Powell, who is stepping down after more than a decade at the helm.",2022-09-21 19:25:00,"Sept 21 (Reuters) - Crypto exchange Kraken said on Wednesday Chief Operating Officer Dave Ripley would replace top boss Jesse Powell, who is stepping down after more than a decade at the helm.
Riple… [+800 chars]"
"33"," Reuters","Singapore police says wanted crypto developer Do Kwon is currently not in Singapore - Reuters.com","Singapore Police Force said on Saturday the wanted crypto developer Do Kwon, who is accused of fraud by investors following the collapse of his cryptocurrencies Luna and TerraUSD, is currently not in the city-state.",2022-09-17 16:54:00,"SINGAPORE, Sept 17 (Reuters) - Singapore Police Force said on Saturday the wanted crypto developer Do Kwon, who is accused of fraud by investors following the collapse of his cryptocurrencies Luna an… [+1104 chars]"
"34"," Reuters","Novel action against Ooki crypto collective draws rebuke from commodities trading commissioner - Reuters.com","The U.S. Commodities Futures Trading Commission has devised a theory to prevent the decentralized, amorphous crypto collectives known as DAOs from capitalizing on their diffuse structure to evade liability.",2022-09-23 20:49:00,"(Reuters) - The U.S. Commodities Futures Trading Commission has devised a theory to prevent the decentralized, amorphous crypto collectives known as DAOs from capitalizing on their diffuse structure … [+6582 chars]"
"35"," Reuters","Liverpool expands partnership with NFT fantasy sports startup Sorare - Reuters","Liverpool football club is deepening its ties with the crypto world by expanding a partnership with French blockchain-based sports startup Sorare, the company said in a statement on Thursday.",2022-09-22 13:07:00,"LONDON, Sept 22 (Reuters) - Liverpool football club is deepening its ties with the crypto world by expanding a partnership with French blockchain-based sports startup Sorare, the company said in a st… [+1990 chars]"
"36"," Reuters","Indonesia's tech firm GoTo buys local crypto exchange for $8.4 mln - Reuters","Indonesia's biggest tech firm PT GoTo Gojek Tokopedia Tbk (GoTo) entered cryptocurrency business by acquiring local crypto exchange PT Kripto Maksima Koin in a bid to diversify its services, GoTo said in a statement.",2022-08-29 15:58:00,"JAKARTA, Aug 29 (Reuters) - Indonesia's biggest tech firm PT GoTo Gojek Tokopedia Tbk (GoTo) entered cryptocurrency business by acquiring local crypto exchange PT Kripto Maksima Koin in a bid to dive… [+1302 chars]"
"37"," Reuters","Indonesia to tighten rules for crypto exchanges, ensure more local control - Reuters","Indonesia's trade ministry plans to issue a new rule governing crypto asset exchanges, requiring two-thirds of the board of directors and commissioners to be Indonesian citizens and reside in the country, a deputy minister said Tuesday.",2022-09-20 13:37:00,"JAKARTA, Sept 20 (Reuters) - Indonesia's trade ministry plans to issue a new rule governing crypto asset exchanges, requiring two-thirds of the board of directors and commissioners to be Indonesian c… [+1660 chars]"
"38"," Business Insider","Tornado Cash was the preferred 'laundering tool' for most NFT scammers before it was sanctioned by the US Treasury, says Elliptic","The crypto mixing platform was the ""laundering tool of choice"" for 52% of NFT scammers, Elliptic Enterprises wrote in a report.",2022-08-25 13:18:29,"Bad actors turned to Tornado Cash as their preferred tool for laundering cryptocurrency proceeds from non-fungible token scams, research firm Elliptic Enterprises wrote in a Wednesday report. 
The p… [+1014 chars]"
"39"," Business Insider","Crypto influencers pedal questionable advice and profit off their viewers — no matter which way the market turns","Crypto influencers have stepped up to offer advice to millions of people, and even though their advice is often wrong, they still profit off fans.",2022-08-29 10:21:18,"Welcome back, readers. The year is 2022, and our social media feeds are filled with influencers.
There are water park influencers, pet influencers, and LinkedIn influencers. And in another corner of… [+4121 chars]"
"40"," Business Insider","'Rich Dad Poor Dad' author Robert Kiyosaki says a historic market crash is looming - and touts crypto as the best defense","The personal-finance guru, who dismissed bitcoin as worthless in May, said it was vital for investors to get into crypto before the crash.",2022-09-13 07:33:43,"Investors are barreling towards a catastrophic market collapse, and should buy cryptocurrencies before they usurp the US dollar and transform the entire financial system, Robert Kiyosaki told his fol… [+1736 chars]"
"41"," Business Insider","Altcoins are the alternative digital currencies to bitcoin — here's what they are and how they work","Altcoins, or alternative coins, are any cryptocurrencies not bitcoin. Learn how altcoins emerged and evolved into a driving force in crypto markets.",2022-09-20 21:08:35,"Insider's experts choose the best products and services to help make smart decisions with your money (heres how). In some cases, we receive a commission from our our partners, however, our opinions a… [+17380 chars]"
"42"," Business Insider","Dogecoin creator claims Mark Cuban is running a crypto 'grift:' He seems to have 'drunk the Kool-Aid'","""Sounds like the same thing that has been said about every new technology I've been involved in,"" Mark Cuban told Insider.",2022-09-09 15:38:26,"Dogecoin Co-Creator Jackson Palmer had some harsh words for crypto enthusiasts like Mark Cuban.
In an interview with Insider, Palmer said Cuban seems to have ""drunk the Kool-Aid"" when it comes to cr… [+3475 chars]"
"43"," Business Insider","Sam Bankman-Fried says his bailouts of sputtering crypto firms were snap judgments and the results have been mixed","FTX's Sam Bankman-Fried told Bloomberg the goal in spearheading crypto bailout deals was to backstop companies rather than make a fortune.",2022-08-31 16:58:15,"Billionaire Sam Bankman-Fried has stepped up this year to throw financial lifelines to struggling cryptocurrency firms and the results have been ""mixed,"" he told Bloomberg. 
The ongoing ""crypto wint… [+2210 chars]"
"44"," Business Insider","Bitcoin jumps more than 10% as risk appetite ramps up on a pullback in the US dollar from 20-year highs","Bitcoin bounced above $21,000 for the first time in two weeks, helping the broader crypto market recapture a valuation of more than $1 trillion.",2022-09-09 19:07:59,"Bitcoin leapt to a two-week high Friday as a drop in the strong US dollar helped fuel a jump in stocks and other risk assets. 
Bitcoin gained as much as 13% to $21,375.38, the first time the price h… [+2116 chars]"
"45"," Business Insider","Crypto parties are still raging in the bear market. Here's what it's like at Mainnet, where tickets cost $2,100 and attendees network on yachts.","Insider's Phil Rosen was on the ground at Mainnet in New York this week, where the party was still raging through the depths of crypto winter.",2022-09-24 12:15:00,"The Messari Mainnet crypto conference in New York drew about 2,000 attendees in person this week, with bullishness still running high and conference-goers ready to party even as bitcoin and ether, th… [+4771 chars]"
"46"," The Verge","Nvidia to announce next-gen GPU architecture in September amid RTX 4090 rumors","Nvidia is getting ready to announce its next-gen GPU architecture. Codenamed Lovelace, it’s expected to lay the foundations for the RTX 40-series GPUs.",2022-08-25 08:51:20,"RTX 40-series cards could be on the way soon
If you buy something from a Verge link, Vox Media may earn a commission. See our ethics statement.
Photo by Sam Byford / The Verge
Nvidia is getting re… [+2278 chars]"
"47"," Reuters","Binance to convert users' USDC into its own stablecoin - Reuters","Binance, the world's largest crypto exchange, said on Monday it is introducing ""BUSD Auto-Conversion,"" which will be used to convert any existing user balances and new deposits of USD Coin (USDC), Pax Dollar (USDP) and True USD (TUSD) into its own stablecoin.",2022-09-05 21:54:00,"Sept 5 (Reuters) - Binance, the world's largest crypto exchange, said on Monday it is introducing ""BUSD Auto-Conversion,"" which will be used to convert any existing user balances and new deposits of … [+918 chars]"
"48"," Reuters","Tether wants Roche Freedman off case over founder's alleged conflict - Reuters","Tether wants Roche Freedman removed from a case against the cryptocurrency company after allegations that one of the law firm's founders abused investor lawsuits to aid a corporate client.",2022-09-01 18:52:00,"<ul><li>
Summary</li><li>
Companies</li><li>
Law firms</li><li>
Related documents</li></ul>
(Reuters) - Tether wants Roche Freedman removed from a case against the cryptocurrency company after a… [+2796 chars]"
"49"," Business Insider","Anthony Scaramucci says bear markets 'suck,' and Skybridge only took Sam-Bankman Fried's deal because of its 'mediocre' performance","Sam Bankman-Fried's acquisition of SkyBridge Capital means ""people don't think you're going out of business,"" Scaramucci said.",2022-09-13 11:35:03,"Hedge fund manager Anthony Scaramucci lamented bear markets, saying they ""suck"" because of how much they've hurt his business. 
Scaramucci told the Financial Times Monday that his company, SkyBridge… [+2159 chars]"
"50"," Business Insider","Anthony Scaramucci says bear markets 'suck,' and Skybridge only took Sam-Bankman Fried's deal because of its 'mediocre' performance","Sam Bankman-Fried's acquisition of SkyBridge Capital means ""people don't think you're going out of business,"" Scaramucci said.",2022-09-13 11:35:03,"Hedge fund manager Anthony Scaramucci lamented bear markets, saying they ""suck"" because of how much they've hurt his business. 
Scaramucci told the Financial Times his company, SkyBridge Capital has… [+2164 chars]"
"51"," Reuters","Thai lender SCBX scraps $500 mln acquisition of crypto exchange Bitkub - Reuters","Thailand's oldest lender, SCBX Pcl <a href=""https://www.reuters.com/companies/SCB.BK"" target=""_blank"">(SCB.BK)</a> said on Thursday it was pulling out of a $500 million deal to buy crypto exchange Bitkub, saying the startup needed time to fix regulatory issue…",2022-08-25 07:12:00,"BANGKOK, Aug 25 (Reuters) - Thailand's oldest lender, SCBX Pcl (SCB.BK) said on Thursday it was pulling out of a $500 million deal to buy crypto exchange Bitkub, saying the startup needed time to fix… [+1218 chars]"
"52"," Reuters","Cboe says Robinhood and Virtu among potential equity partners in crypto exchange - Reuters","Cboe Global Markets Inc <a href=""https://www.reuters.com/companies/CBOE.Z"" target=""_blank"">(CBOE.Z)</a> on Thursday said it is in discussions with several market participants, including retail brokers and market makers, about taking strategic stakes in its re…",2022-08-25 15:00:00,"Aug 25 (Reuters) - Cboe Global Markets Inc (CBOE.Z) on Thursday said it is in discussions with several market participants, including retail brokers and market makers, about taking strategic stakes i… [+1608 chars]"
"53"," Reuters","State securities regulators seek more transparency in Celsius crypto bankruptcy - Reuters","State securities regulators from Texas, Vermont and Wisconsin on Wednesday pushed for greater transparency in the bankruptcy of cryptocurrency lender Celsius Network LLC, joining the U.S. Department of Justice's call for a court-appointed examiner to ensure t…",2022-09-07 22:25:00,"<ul><li>
Summary</li><li>
Companies</li><li>
Law firms</li></ul>
(Reuters) - State securities regulators from Texas, Vermont and Wisconsin on Wednesday pushed for greater transparency in the bank… [+3479 chars]"
"54"," Reuters","U.S. Senate to grill SEC's Gensler over climate, China and crypto - Reuters","An aggressive regulator is critical to maintaining the United States as the ""gold standard"" for capital markets, U.S. Securities and Exchange Commission (SEC) chair Gary Gensler will tell the U.S. Senate Banking Committee on Thursday.",2022-09-15 10:15:00,"WASHINGTON, Sept 15 (Reuters) - An aggressive regulator is critical to maintaining the United States as the ""gold standard"" for capital markets, U.S. Securities and Exchange Commission (SEC) chair Ga… [+3441 chars]"
"55"," Reuters","Crypto exchange Kraken has no U.S. SEC registration plans, says incoming CEO - Reuters","Cryptocurrency exchange Kraken has no plans to delist tokens the U.S. Securities and Exchange Commission has labeled as securities, or to register with the agency as a market intermediary, said incoming chief executive officer Dave Ripley on Thursday.",2022-09-23 10:13:00,"Sept 23 (Reuters) - Cryptocurrency exchange Kraken has no plans to delist tokens the U.S. Securities and Exchange Commission has labeled as securities, or to register with the agency as a market inte… [+2778 chars]"
"56"," Reuters","EXCLUSIVE U.S. sought records on Binance CEO for crypto money laundering probe - Reuters","U.S. federal prosecutors asked Binance, the world's largest cryptocurrency exchange, to provide extensive internal records about its anti-money laundering checks, along with communications involving its chief executive and founder Changpeng Zhao, according to…",2022-09-01 12:07:00,"LONDON, Sept 1 (Reuters) - U.S. federal prosecutors asked Binance, the world's largest cryptocurrency exchange, to provide extensive internal records about its anti-money laundering checks, along wit… [+8045 chars]"
"57"," Reuters","Law firms seek to oust Roche Freedman from Tether crypto case - Reuters","Law firms seeking to lead a class-action lawsuit against stablecoin creator Tether on behalf of cryptocurrency investors have seized on secretly recorded comments by a lawyer at a competitor firm, Roche Freedman, to try to oust it from the litigation.",2022-09-06 20:36:00,"<ul><li>
Summary</li><li>
Companies</li><li>
Law firms</li><li>
Related documents</li></ul>
(Reuters) - Law firms seeking to lead a class-action lawsuit against stablecoin creator Tether on beha… [+3020 chars]"
"58"," Reuters","Lawyer of alleged crypto launderer urges Russia to discuss prisoner swap - letter - Reuters","The lawyer of a Russian man accused of laundering more than $4 billion through the digital currency bitcoin urged Moscow on Monday to begin negotiations with the United States to include his client in a potential prisoner swap.",2022-09-05 19:17:00,"MOSCOW, Sept 5 (Reuters) - The lawyer of a Russian man accused of laundering more than $4 billion through the digital currency bitcoin urged Moscow on Monday to begin negotiations with the United Sta… [+2472 chars]"
"59"," Reuters","Crypto law firm Roche Freedman fights to stay in bitcoin case after videos surface - Reuters","A hotly contested disqualification fight at the 11th U.S. Circuit Court of Appeals should provide a good indication of just how much damage the crypto law firm Roche Freedman is facing after last month’s revelation of surreptitious video recordings of name pa…",2022-09-20 21:33:00,"(Reuters) - A hotly contested disqualification fight at the 11th U.S. Circuit Court of Appeals should provide a good indication of just how much damage the crypto law firm Roche Freedman is facing af… [+6936 chars]"
"60"," Business Insider","Financial watchdog warns UK to be wary of dealing with Sam Bankman-Fried's crypto exchange FTX","Sam Bankman-Fried's FTX ""is not authorized by us and is targeting people in the UK,"" the Financial Conduct Authority said.",2022-09-19 13:34:26,"The UK's financial watchdog has warned Brits against dealing with Sam Bankman-Fried's crypto exchange FTX as it steps up its attempts to regulate offshore digital asset firms.
The Financial Conduct … [+1361 chars]"
"61"," Business Insider","Billionaire Carlyle co-founder David Rubenstein says he's invested in crypto companies and doesn't expect Congress to over-regulate the industry","""Young people tend to have the intelligence and energy to kind of get trends started,"" Rubenstein said in an interview with CNBC.",2022-09-01 14:18:04,"Billionaire David Rubenstein says he's personally invested in companies doing work in the cryptocurrency sector and is optimistic that government regulation won't hit the brakes on the industry. 
Ru… [+1164 chars]"
"62"," Business Insider","It took seven months and an audit for Crypto.com to realize its $10 million error, but a lucky Australian recipient used the cash to nab her dream home","The crypto company took seven months to realize it had accidentally wired Thevamanogari Manivel the extra money, but she had already put a portion of the cash toward a $1.35 million home.",2022-08-31 23:30:00,"Hi. I'm Aaron Weinman. I remember one day after high school, I went to the local ""milk bar"" (Australia's version of the bodega) to withdraw $50 from the ATM. I was excited. I was off to the ""shops"" (… [+4561 chars]"
"63"," Business Insider","Ethereum Merge has completed its long-awaited update, Buterin says","The merge moves the Ethereum blockchain to a proof-of-stake mechanism, slashing its energy usage and so making it more appealing to institutional investors.",2022-09-15 09:22:26,"The Ethereum blockchain completed its long-awaited Merge update early Thursday morning, the crypto project's cofounder Vitalik Buterin has said.
The upgrade promises to cut energy consumption for th… [+2331 chars]"
"64"," Reuters","Galaxy Digital sued for $100 mln for ditching landmark Bitgo deal - Reuters","Galaxy Digital Holdings Ltd <a href=""https://www.reuters.com/companies/GLXY.TO"" target=""_blank"">(GLXY.TO)</a>, a crypto financial services firm, should pay at least $100 million in damages for walking away from its $1.2 billion takeover deal for BitGo Inc, th…",2022-09-15 21:52:00,"WILMINGTON, Del, Sept 15 (Reuters) - Galaxy Digital Holdings Ltd (GLXY.TO), a crypto financial services firm, should pay at least $100 million in damages for walking away from its $1.2 billion takeov… [+2006 chars]"
"65"," Business Insider","Bankrupt crypto lender Celsius will allow withdrawals for some customers, potentially returning $210 million to users who were locked out during the summer sell-off","Separately, 64 customers petitioned to have their custodial deposits returned, arguing Celsius has the ability to do so.",2022-09-01 15:53:07,"Crypto lender Celsius Network will allow withdrawals from some of its customers, potentially returning $210 million to users who were locked out of their accounts this summer.
Celsius paused custome… [+1329 chars]"
"66"," Reuters","Britain's financial watchdog says FTX may be operating in UK without authorisation - Reuters","Britain's Financial Conduct Authority said on Friday cryptocurrency exchange FTX may be offering financial services or products in the UK without its authorisation.",2022-09-19 09:35:00,"LONDON, Sept 19 (Reuters) - Britain's Financial Conduct Authority said on Friday cryptocurrency exchange FTX may be offering financial services or products in the UK without its authorisation.
FTX i… [+1071 chars]"
