logo src,project_name,project_link,chain_platform,category,issue,funds_lost,date
https://safefiles.defiyield.info/safe/files/scamDatabase/logo/610812beaf870.png,xToken,https://xtoken.market/,ETH,Token,Flash Loan Attack,"$24,000,000 ",12.05.2021
https://safefiles.defiyield.info/safe/files/scamDatabase/logo/6113f62ee896c.png,Bancor,https://bancor.network/,ETH,Exchange (DEX),Exploit,"$23,500,000 ",09.07.2018
https://safefiles.defiyield.info/safe/files/scamDatabase/logo/625d562a7d275.jpeg,Elephant Money,https://elephant.money/,BSC,Exchange (DEX),Flash Loan Attack,"$22,200,000 ",12.04.2022
https://safefiles.defiyield.info/safe/files/scamDatabase/logo/62ebadc8c2681.png,TBIS,,,Other,Exit Scam,"$21,000,000 ",27.07.2022
https://safefiles.defiyield.info/safe/files/scamDatabase/logo/612f92d19c475.jpeg,Cream Finance,https://cream.finance/,ETH,Borrowing and Lending,Exploit,"$18,800,000 ",31.08.2021
https://safefiles.defiyield.info/safe/files/scamDatabase/logo/626a9cfeb901e.jpeg,DEUS Finance (2),https://deus.finance/,FANTOM,Other,Flash Loan Attack,"$17,900,000 ",28.04.2022
https://safefiles.defiyield.info/safe/files/scamDatabase/logo/62432378800a8.jpeg,Electrum (2),https://electrum.org/,,Other,Access control,"$17,700,000 ",19.01.2020
https://safefiles.defiyield.info/safe/files/scamDatabase/logo/616ebd3539e6d.jpeg,Indexed Finance,https://indexed.finance/,ETH,Other,Exploit,"$16,000,000 ",13.10.2021
https://safefiles.defiyield.info/safe/files/scamDatabase/logo/6241de72aa127.jpeg,Electrum (3),https://electrum.org/,,Other,Access control,"$15,000,000 ",30.08.2020
https://safefiles.defiyield.info/safe/files/scamDatabase/logo/62b9803c196c4.png,Inverse Finance (1),https://twitter.com/InverseFinance/status/1510228038352457733,ETH,Borrowing and Lending,Price Manipulation,"$14,500,000 ",02.04.2022
https://safefiles.defiyield.info/safe/files/scamDatabase/logo/61153228a8b0b.jpeg,FURUCOMBO,https://furucombo.app/,ETH,Other,Exploit,"$14,000,000 ",01.03.2021
https://safefiles.defiyield.info/safe/files/scamDatabase/logo/62053904ab461.png,Superfluid,https://www.superfluid.finance/,POLYGON,,Exploit,"$13,000,000 ",08.02.2022
https://safefiles.defiyield.info/safe/files/scamDatabase/logo/60e5a688dba8f.png,Compounder Finance,https://compounder.finance/,ETH,,Exit Scam,"$12,326,985 ",01.12.2020
https://safefiles.defiyield.info/safe/files/scamDatabase/logo/624dbb7e3cbf1.jpeg,CoinDash,https://coindash.io/,,Other,Exploit,"$12,200,000 ",01.07.2017
https://safefiles.defiyield.info/safe/files/scamDatabase/logo/62855dc8be06d.png,Saddle Finance,https://saddle.finance/#/,ETH,Exchange (DEX),Exploit,"$11,000,000 ",01.05.2022
https://safefiles.defiyield.info/safe/files/scamDatabase/logo/6100113e3b2dd.jpeg,Value DeFi (3),https://valuedefi.io/,ETH,Exchange (DEX),Exploit,"$11,000,000 ",07.05.2021
https://safefiles.defiyield.info/safe/files/scamDatabase/logo/60fae1dfe8f0e.jpeg,bEarn Fi,https://www.bearn.fi/,BSC,,Flash Loan Attack,"$11,000,000 ",16.05.2021
https://safefiles.defiyield.info/safe/files/scamDatabase/logo/6246e046b45bf.png,GateHub,https://gatehub.net/,,,Access control,"$10,000,000 ",06.06.2019
https://safefiles.defiyield.info/safe/files/scamDatabase/logo/61dc64a04d6fb.png,Arbix Finance,http://www.arbix.finance/,BSC,,Exit Scam,"$10,000,000 ",04.01.2022
https://safefiles.defiyield.info/safe/files/scamDatabase/logo/611fc5fd180dc.jpeg,SharkTron,https://sharkinvest.io/,TRON,,Exit Scam,"$10,000,000 ",27.10.2020
https://safefiles.defiyield.info/safe/files/scamDatabase/logo/6100098961716.jpeg,Value DeFi (2),https://valuedefi.io/,ETH,Exchange (DEX),Exploit,"$10,000,000 ",05.05.2021
https://safefiles.defiyield.info/safe/files/scamDatabase/logo/61b35beaf2c09.jpeg,Pizza,https://pizza.finance/,EOS,,Exploit,"$9,863,088 ",08.12.2021
https://safefiles.defiyield.info/safe/files/scamDatabase/logo/629603d7d21a6.png,BreedTech,,BSC,,Exit Scam,"$9,400,000 ",29.05.2022
https://safefiles.defiyield.info/safe/files/scamDatabase/logo/6113d93567b08.jpeg,Cover Protocol,https://www.coverprotocol.com/,ETH,,Exploit,"$9,400,000 ",27.12.2020
https://safefiles.defiyield.info/safe/files/scamDatabase/logo/61169402a218c.png,Punk Protocol,https://punk.finance/,BSC,,Exploit,"$8,900,000 ",10.08.2021
https://safefiles.defiyield.info/safe/files/scamDatabase/logo/62c45ed63c7b1.png,Crema Finance,https://www.crema.finance/,SOLANA,Exchange (DEX),Exploit,"$8,782,446 ",02.07.2022
https://safefiles.defiyield.info/safe/files/scamDatabase/logo/6284eaabca027.png,Blizz Finance,https://blizz.finance/,AVAX,Borrowing and Lending,Exit Scam,"$8,300,000 ",14.05.2022
https://safefiles.defiyield.info/safe/files/scamDatabase/logo/61e7016fbfddf.png,Haven Protocol,https://havenprotocol.org/,ETH,,Exploit,"$8,186,549 ",03.07.2021
https://safefiles.defiyield.info/safe/files/scamDatabase/logo/6103f483c9f83.png,bZx (3),https://bzx.network/,ETH,Other,Exploit,"$8,100,000 ",13.09.2020
https://safefiles.defiyield.info/safe/files/scamDatabase/logo/62d04062f38ec.png,Uniswap (Fake),,ETH,Exchange (DEX),Phishing,"$8,000,000 ",11.07.2022
https://safefiles.defiyield.info/safe/files/scamDatabase/logo/611526c9dce57.jpeg,THORChain (2),https://thorchain.org/,ETH,Exchange (DEX),Exploit,"$8,000,000 ",22.07.2021
https://safefiles.defiyield.info/safe/files/scamDatabase/logo/60eefaf51fce8.jpeg,Origin Protocol,https://www.originprotocol.com/,ETH,,Flash Loan Attack,"$8,000,000 ",16.11.2020
https://safefiles.defiyield.info/safe/files/scamDatabase/logo/619782fe962f3.jpeg,Anyswap,https://anyswap.exchange/,ETH,,Access control,"$7,907,718 ",10.07.2021
https://safefiles.defiyield.info/safe/files/scamDatabase/logo/60ee015bb22da.jpeg,Warp Finance,https://www.warp.finance/,ETH,Borrowing and Lending,Flash Loan Attack,"$7,800,000 ",17.12.2020
https://safefiles.defiyield.info/safe/files/scamDatabase/logo/60edc74cb55b0.jpeg,BurgerSwap,https://burgerswap.org/,BSC,Exchange (DEX),Flash Loan Attack,"$7,200,000 ",29.05.2021
https://safefiles.defiyield.info/safe/files/scamDatabase/logo/61e58d59e62a8.jpeg,Phoenix Finance (FinNexus),https://www.phx.finance/,ETH,,Access control,"$7,000,000 ",17.05.2021
https://safefiles.defiyield.info/safe/files/scamDatabase/logo/60eed4159d6c7.jpeg,Value DeFi,https://valuedefi.io/,ETH,Exchange (DEX),Flash Loan Attack,"$7,000,000 ",13.11.2020
https://safefiles.defiyield.info/safe/files/scamDatabase/logo/61153f633e2cc.jpeg,DAO Maker,https://www.daomaker.com/,ETH,Stablecoin,Exploit,"$6,884,420 ",12.08.2021
https://safefiles.defiyield.info/safe/files/scamDatabase/logo/61c35fd585ca4.jpeg,Bondly,https://www.bondly.finance/,ETH,,Access control,"$6,800,987 ",14.07.2021
