"text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"At #MetalPay we do not censor for thought crime. Also you can bank with crypto and get great customer service. It's… https://t.co/hnuyluNkJI",FALSE,176,NA,2022-10-10 01:31:45,TRUE,NA,"1579283512208654336",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","MarshallHayner",78,FALSE,FALSE,NA,NA
"» Binance to Train Law Enforcement on How to Stop Crypto Crime https://t.co/RwlCZfTVVZ",FALSE,2930,NA,2022-10-09 05:45:04,FALSE,NA,"1578984871875448832",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","cz_binance",542,FALSE,FALSE,NA,NA
"#Binance to help #Kazakhstan regulate its #crypto space, combat crime linked to #cryptocurrencies. https://t.co/W2q0kqOVdf",FALSE,281,NA,2022-10-05 11:32:33,FALSE,NA,"1577622767960264706",NA,"<a href=""https://zapier.com/"" rel=""nofollow"">Zapier.com</a>","BTCTN",87,FALSE,FALSE,NA,NA
"RT @lavern_spicer: I haven’t heard one single Democrat acknowledge or address CRIME, INFLATION or ANY OTHER MAJOR CONCERNS I have about thi…",FALSE,0,NA,2022-10-12 03:41:19,FALSE,NA,"1580040893671051264",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","_Crypto_Colonel",779,TRUE,FALSE,NA,NA
"RT @MarshallHayner: At #MetalPay we do not censor for thought crime. Also you can bank with crypto and get great customer service. It's sim…",FALSE,0,NA,2022-10-12 03:35:42,FALSE,NA,"1580039480592846850",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","jaketital",78,TRUE,FALSE,NA,NA
"@LARichards50 @GOPLatinoPDX @HillaryClinton @BillClinton Bill Clinton has been a womanizer since he was Governor of… https://t.co/4KZTMlDRHQ",FALSE,0,"LARichards50",2022-10-12 03:34:35,TRUE,"1579887349844303872","1580039199117672450","925654570054889472","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","crypto_count",0,FALSE,FALSE,NA,NA
"Today: BNY Mellon 🤝 @FireblocksHQ 🤝 @chainalysis 

Two weeks ago: Nasdaq and @Verafin to handle crypto custody and… https://t.co/vfbywCZQvO",FALSE,0,NA,2022-10-12 03:33:04,TRUE,NA,"1580038816454217729",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","alexktong",0,FALSE,FALSE,NA,NA
"Today: BNY Mellon 🤝 @FireblocksHQ 🤝 @chainalysis 

Two weeks ago: Nasdaq and @Verafin doing crypto custody and cryp… https://t.co/zpixfysJUc",FALSE,0,NA,2022-10-12 03:32:29,TRUE,NA,"1580038672749330432",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","alexktong",0,FALSE,FALSE,NA,NA
"The penalty is part of an expanding effort by the Treasury Department and other agencies to crack down on crypto cr… https://t.co/YFoIAQeL5W",FALSE,4,NA,2022-10-12 03:23:03,TRUE,NA,"1580036296277270528",NA,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>","nytimesbusiness",0,FALSE,FALSE,NA,NA
"RT @MarshaBlackburn: In less than 2 years, Joe Biden’s policies have created an energy crisis, a border crisis, a crime crisis, an educatio…",FALSE,0,NA,2022-10-12 03:06:47,FALSE,NA,"1580032202988920832",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","_Crypto_Colonel",1922,TRUE,FALSE,NA,NA
